Duration (in seconds),ConsentQuestion,PCSEItem_01,PCSEItem_02,PCSEItem_03,PCSEItem_04,PCSEItem_05,PCSEItem_06,PCSEItem_07,PCSEItem_08,PCSEItem_09,PCSEItem_10,PCSEItem_11,PCSEItem_12,PCSEItem_13,PCSEItem_14,PCSEItem_15,PCSEItem_16,PCSEItem_17,PCSEItem_18,PCSEItem_19,PCSEItem_20,PCSEItem_21,PCSEItem_22,PCSEItem_23,PCSEItem_24,PCSEItem_25,PCSEItem_26,PCSEItem_27,PCSEItem_28,ItemFeedback,PoliticalAffiliation,Education,Residency,Vote,Student
209,1,4,2,4,2,5,4,5,3,4,2,4,5,3,5,4,4,5,5,5,2,4,3,3,5,1,4,3,2,,Democrat,5,5,1,2
234,1,4,2,4,4,5,4,4,3,2,1,4,5,4,4,3,4,4,5,5,2,4,2,4,4,1,4,4,4,,democrat,3,4,1,1
318,1,4,2,5,2,5,4,4,2,4,1,5,3,4,5,4,1,5,5,5,4,5,1,5,5,4,4,2,1,Everything was pretty easy to understand and the questions were clear.,Democrat,5,7,1,2
487,1,2,4,2,4,2,5,4,5,4,4,4,4,5,4,4,4,4,4,4,2,4,4,4,4,4,4,4,3,"There's so much nuance behind each question because not all situations are equal. Also, what I believe and what I *want* to believe are two different things, unfortunately. I wasn't sure which to answer for a lot of questions. What I want to believe is also sometimes what I tell other's I belive but I can also see the other side each time.","idk left for sure, liberal. not republican. not right leaning. not conservative.   ",3,4,1,2
201,1,4,4,4,3,3,4,4,5,4,4,4,4,4,5,3,4,3,5,2,2,3,4,3,3,2,3,4,2,,Left,3,4,1,2
239,1,4,2,2,2,5,2,5,4,4,2,5,4,3,4,2,3,3,4,5,3,4,2,4,5,2,5,4,3,,democratic,3,4,1,1
132,1,2,4,2,3,3,5,4,4,2,3,4,4,5,3,4,4,3,3,3,2,3,4,2,1,4,2,2,2,,left,3,4,1,2
190,1,4,5,4,4,4,4,4,4,3,2,5,2,5,4,4,5,2,5,4,2,5,5,2,2,2,2,4,1,Some of these items come across as a bit repetitive; multiple questions asked about the perceived effects of an individual's vote which could probably be consolidated into one.,Liberal/left,3,4,2,2
421,1,2,4,2,5,4,5,2,5,2,2,5,2,5,4,4,5,2,5,4,2,4,2,4,2,5,2,1,2,,democratic socialist ,3,4,1,1
847,1,1,1,2,4,1,1,3,4,4,5,4,1,3,2,4,4,4,5,2,1,5,3,3,3,5,5,4,1,"Some of the questions seem oddly worded.  Eg, How is supposed to take my sociopolitical opinions seriously?  Friends and family? Coworkers? My political representatives?  And at what level of government?  Is this the same question as whether my voice is heard by those in power?  or Swaying my representatives? And, again, at what level?  My voice is my vote, and that has some effect on the local level and congressional level, less on the state,  much less In terms of the electoral college v popular vote,  

Positions of power: does that mean the wealthy too, who have no official political power? ",Democarat,5,7,1,2
3993,1,4,4,4,5,3,5,5,3,4,4,5,3,2,5,3,2,2,4,3,1,4,2,4,5,1,5,4,4,"At times, I felt that there were nuances to certain questions, such that I might agree in some cases and might disagree in other cases. I felt this specifically for questions regarding people's individual responsibilities because I think that it might make a difference if everyone were making changes in their actions, but not necessarily just if some people were to. ",Democrat,3,4,1,2
217,1,2,4,3,4,2,5,4,4,2,4,3,4,5,4,5,5,4,4,2,1,5,4,3,1,2,4,3,4,,,3,4,1,1
611,1,4,2,4,4,3,4,4,2,5,3,5,3,3,4,4,4,4,4,4,2,5,3,4,5,3,2,2,4,,democrat,3,4,1,1
239,1,4,4,3,5,5,5,4,5,4,1,5,3,5,5,4,2,3,4,3,1,5,1,2,4,2,3,2,2,,democrat,3,7,1,2
271,1,2,4,1,5,5,4,2,4,5,2,3,1,1,2,5,2,3,5,4,2,5,4,2,2,4,5,5,5,,None,3,4,4,1
1279,1,3,3,3,4,4,4,4,4,3,3,5,3,4,5,4,5,3,4,3,2,4,4,4,4,3,3,3,3,,Democrat,4,7,1,2
325,1,4,4,4,4,4,4,5,4,4,2,5,4,4,5,2,4,4,4,5,2,4,4,2,2,2,4,5,4,All the questions were worded clearly and were not confusing to understand.,,3,7,1,2
189,1,4,1,4,2,4,4,4,4,4,2,5,3,5,5,2,3,4,3,4,3,3,2,2,4,2,3,2,3,,Democrat ish,3,4,1,2
261,1,4,2,4,2,5,3,5,3,3,2,5,4,3,5,3,4,3,4,4,2,4,3,4,4,2,3,2,4,,Leftist,3,4,1,2
600,1,2,2,4,5,2,4,4,4,2,3,5,5,5,4,4,4,3,5,3,1,5,2,2,5,2,4,2,4,NA,Leftist,3,4,1,2
523,1,4,2,1,5,5,2,4,5,4,1,4,3,5,5,3,3,5,3,4,2,4,3,4,3,4,3,4,4,,Democrat / Independent ,5,7,1,2
1321,1,2,4,1,5,3,5,4,4,1,2,4,4,5,4,4,5,4,4,2,1,5,3,1,2,2,4,4,2,"""I often feel as though my opinions about sociopolitical events are not taken seriously."" is confusing...taken seriously by whom?
""Individual civic actions, like recycling and volunteering, add up to large scale changes in the United States."" This one is confusing because it's double barreled. I don't think recycling can add up to any change but volunteering might.
",Left,3,4,1,1
371,1,5,2,4,2,5,2,5,2,5,1,5,4,1,5,1,3,4,5,4,2,4,2,4,4,3,3,2,4,,Republican,5,7,1,2
285,1,4,4,3,2,3,4,4,4,4,2,5,3,4,5,3,4,2,5,5,2,5,3,4,4,2,1,2,2,,Democrat,3,7,2,2
925,1,4,1,4,3,5,3,4,4,3,1,5,2,4,4,3,5,3,5,5,2,4,4,4,4,3,2,3,3,"One of the items uses ""we"" while most of the other items use ""I"". Some items are very vague like ""Forces outside of my control dictate the state of the nation"" and ""I can help abolish injustice in the United States"", which made them more difficult to respond to.",Democrat,3,4,1,1
340,1,2,4,2,4,2,2,4,4,4,4,4,2,3,4,4,4,2,4,4,4,5,4,4,4,5,4,4,5,n/a,n/a,4,4,4,1
300,1,1,5,1,1,1,5,1,5,1,5,1,1,5,1,5,5,1,5,1,1,5,5,1,1,5,5,5,1,,none,4,7,4,2
278,1,1,4,1,2,4,3,4,4,2,3,4,4,4,3,5,4,3,2,3,2,2,3,2,2,4,5,5,4,na,NA,3,7,4,2
646,1,2,2,2,5,5,4,4,4,2,1,4,4,3,2,4,3,1,3,3,2,4,3,2,2,3,4,5,4,,,3,7,4,2
15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,1,1,2,4,4,4,5,4,4,3,4,4,2,4,4,3,3,3,5,4,2,5,2,3,1,2,5,4,2,,,3,4,1,1
414,1,3,3,1,2,4,4,4,4,4,2,4,4,3,4,4,3,4,3,3,3,4,3,4,2,3,5,3,3,,independent,,5,1,2
313,1,4,4,3,4,4,4,4,4,3,3,4,3,2,3,3,2,4,4,3,3,5,3,2,3,3,4,4,3,,Non,3,4,4,2