Student,RateRSE_Outdated01,RateRSE_Outdated02,RateRSE_Outdated03,RateRSE_Outdated04,RateRSE_Outdated05,RateRSE_Outdated06,RateRSE_Outdated07,RateRSE_Outdated08,RateRSE_Outdated09,RateRSE_Outdated10,RateRSE_SocDes01,RateRSE_SocDes02,RateRSE_SocDes03,RateRSE_SocDes04,RateRSE_SocDes05,RateRSE_SocDes06,RateRSE_SocDes07,RateRSE_SocDes08,RateRSE_SocDes09,RateRSE_SocDes10,RateRSE_Clear01,RateRSE_Clear02,RateRSE_Clear03,RateRSE_Clear04,RateRSE_Clear05,RateRSE_Clear06,RateRSE_Clear07,RateRSE_Clear08,RateRSE_Clear09,RateRSE_Clear10,RateRSE_Relate01,RateRSE_Relate02,RateRSE_Relate03,RateRSE_Relate04,RateRSE_Relate05,RateRSE_Relate06,RateRSE_Relate07,RateRSE_Relate08,RateRSE_Relate09,RateRSE_Relate10
1,2,3,1,1,2,3,1,1,2,1,4,2,4,5,2,2,4,3,2,5,4,4,4,2,4,4,4,4,3,3,3,3,4,2,3,2,4,4,3,4
2,1,1,1,1,1,2,2,1,2,1,5,1,5,5,1,1,5,2,1,5,3,4,4,2,3,3,1,2,3,4,3,4,3,2,3,2,3,1,3,1
3,1,2,1,1,1,2,1,1,2,1,4,1,5,5,1,1,4,4,1,5,1,1,1,1,1,1,1,1,1,2,3,3,2,2,3,2,4,2,4,3
4,1,2,1,1,1,2,2,1,2,2,5,1,4,4,1,1,4,4,1,5,4,2,3,3,2,2,3,4,3,4,3,3,2,1,3,3,4,3,3,4
5,1,1,2,2,1,1,1,1,1,1,4,2,4,4,4,1,5,4,1,4,4,2,3,3,3,4,1,3,3,4,4,4,2,1,3,3,4,2,3,2
6,1,1,1,1,1,2,1,1,1,2,5,2,5,5,1,1,5,2,1,5,4,3,4,3,4,3,4,4,4,4,3,4,3,3,3,4,4,2,4,3
7,1,2,1,3,1,2,1,2,1,1,5,1,5,5,1,1,5,3,1,5,4,3,4,2,3,3,4,1,4,4,3,4,4,2,4,3,4,2,3,4
8,1,1,1,1,1,2,4,1,2,1,5,1,4,4,2,2,4,3,1,4,3,2,4,2,2,3,2,1,3,3,4,4,3,2,3,4,2,2,4,4
9,1,1,1,1,1,1,1,1,1,2,4,1,4,5,2,1,4,1,1,4,2,3,2,1,3,4,3,4,4,3,4,4,3,4,4,4,4,2,4,2
10,1,3,2,1,1,3,2,1,1,2,5,1,5,4,2,2,5,5,1,5,3,3,3,1,3,3,3,3,3,3,3,4,4,4,2,3,3,2,3,3
11,3,2,1,2,1,1,1,4,1,1,5,1,4,3,2,1,4,5,2,5,2,4,4,3,4,4,2,4,3,4,3,4,4,2,4,4,3,2,4,4
12,1,1,2,1,1,2,1,1,1,1,5,1,5,5,1,1,5,3,1,4,4,4,4,2,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4
13,3,4,1,1,1,4,2,1,3,2,5,1,5,5,2,1,4,5,1,4,2,2,2,1,3,3,2,2,2,1,4,4,2,2,2,3,4,2,3,2