Duration (in seconds),ConsentQuestion,PCSEItem_01M,PCSEItem_02,PCSEItem_03M,PCSEItem_05,PCSEItem_07,PCSEItem_08,PCSEItem_09,PCSEItem_10,PCSEItem_11M,PCSEItem_12,AttentionCheck,PCSEItem_15,PCSEItem_16,PCSEItem_17,PCSEItem_19M,PCSEItem_20,PCSEItem_21,PCSEItem_22,PCSEItem_23,PCSEItem_24,PCSEItem_25,PCSEItem_26,PCSEItem_27,PCSEItem_28M,ItemFeedback,UpToDate,Impact,Optimism_1,Optimism_2,Optimism_3,Optimism_4,Optimism_5,Optimism_6,Conscientiousness_1,Conscientiousness_2,Conscientiousness_3,Conscientiousness_4,Conscientiousness_5,Conscientiousness_6,EthnicityRace,Gender,PoliticalAffiliation,Age,Education,Residency,Vote
250,1,2,3,2,2,4,4,4,2,4,4,1,3,3,3,4,2,5,4,3,3,3,4,4,3,,3,3,2,3,2,2,2,2,3,3,2,4,2,3,white,all,none ,1,3,7,2
249,1,2,2,4,4,5,5,5,2,5,5,1,4,5,3,5,2,5,5,4,3,2,2,2,2,,5,4,2,3,1,3,2,3,2,3,3,4,4,2,White,trans?? (afab),generally left leaning,1,3,4,2
260,1,2,4,2,4,4,4,2,2,4,4,1,4,4,4,4,2,4,3,2,2,2,4,3,4,,4,3,3,2,3,2,2,3,3,2,3,3,3,3,white,female,democrat,1,3,4,1
13228,1,1,4,2,4,4,5,4,2,4,2,1,5,5,5,4,2,4,4,4,2,4,2,4,1,,4,4,1,3,2,2,2,2,3,2,4,4,2,2,White,Non binary,Liberal ig?,1,3,7,1
199,1,2,4,4,5,4,4,4,1,3,2,1,4,5,4,4,2,4,4,4,3,1,4,2,1,,5,3,2,2,3,3,3,3,4,1,4,3,4,1,,,,1,3,4,2
323,1,4,4,3,2,3,5,2,3,3,3,1,3,2,4,2,3,5,3,3,3,2,4,4,2,,5,2,2,2,1,2,2,2,2,3,2,4,2,3,"white, jewish",female,leftist (?),1,3,4,1
294,1,5,1,5,5,5,1,4,1,5,5,3,1,4,5,5,3,1,1,5,4,1,2,1,5,,5,4,2,2,3,1,1,2,2,3,4,4,3,2,white/jewish,female,"left wing, registered democrat ",1,3,4,1
447,1,4,4,2,2,3,4,3,4,3,2,,4,4,3,3,2,4,4,4,4,4,4,4,2,,5,4,1,3,2,2,3,2,3,2,3,3,3,2,White,Male,Democrat,4,5,7,1
350,1,3,2,2,4,4,5,3,4,5,4,1,4,2,2,4,2,4,2,2,3,3,4,3,1,Most depend on the specific topic or subtopic in the category (ie: economy could be specified to  US budgeting or consumers influencing sustainable fashion) ,4,4,2,3,2,2,2,3,2,3,4,4,4,1,White,Woman,Democratic ,1,3,7,1
349,1,2,4,4,2,4,4,4,4,5,4,1,4,5,4,2,1,5,5,3,3,2,3,2,4,,5,4,1,4,2,3,3,3,3,2,4,3,4,1,White and Middle Eastern,female,socialist ,1,4,4,1
193,1,4,4,4,5,5,3,3,1,5,4,1,4,5,4,5,2,4,4,4,4,2,2,2,4,,5,4,2,3,3,2,3,3,3,4,4,4,4,3,White,Female questioning,Liberal ,1,3,4,1
308,1,3,5,2,3,2,3,3,3,5,4,1,3,3,3,4,3,5,3,3,3,3,5,4,3,,3,3,3,3,4,3,3,3,2,3,2,4,4,3,,,,,,,
223,1,5,4,4,5,5,4,4,1,4,4,1,4,4,5,4,2,4,2,5,4,1,2,1,4,,5,4,3,2,3,2,2,3,3,1,4,1,4,2,Caucasian ,Female,Democratic socialist ,1,4,7,1
1064,1,3,1,4,2,4,3,4,4,4,4,1,3,4,4,4,3,3,1,5,4,1,2,3,2,,5,3,2,1,3,2,2,3,2,2,3,3,4,3,Black,Male,Liberal/Democrat ,1,3,4,5
537,1,2,4,3,5,4,5,4,1,3,4,1,2,4,4,4,2,4,4,3,4,3,3,2,3,,5,4,2,3,2,3,3,3,2,3,2,3,4,2,"Black, Indian, White",Female,Democrat,1,3,4,1
925,1,4,2,4,4,4,4,4,2,4,4,1,4,4,4,3,2,4,4,1,2,2,3,2,2,,4,4,4,2,3,3,2,3,2,3,3,2,3,3,white ,female ,democrat ,1,3,4,1
2038,1,2,2,4,5,3,4,3,2,4,3,1,4,5,3,4,2,4,3,4,2,2,4,4,2,,5,3,2,3,2,2,2,3,3,2,3,3,2,3,latino,female,none,1,3,4,4
748,1,3,4,4,4,4,4,4,2,4,4,5,2,3,4,4,2,4,2,4,4,4,4,4,4,,3,3,3,2,3,3,2,3,2,3,2,4,3,3,Hispanic,Female,democratic ,1,3,7,1
339,1,1,5,3,3,4,4,4,3,4,2,1,4,3,5,4,2,3,4,4,3,2,4,5,2,,4,2,3,3,3,3,4,2,3,2,4,3,3,2,white,female ,,1,3,7,1
361,1,2,5,3,3,5,5,3,3,4,5,1,4,5,4,2,2,5,5,3,4,2,3,3,4,,5,4,1,3,1,3,3,2,4,1,4,2,3,2,Mixed,Female,Left,1,4,4,4
510,1,3,2,4,4,4,5,3,2,4,2,1,3,4,4,3,1,4,2,2,3,2,3,4,2,,4,4,2,2,2,2,2,3,4,1,4,1,4,1,White ,Woman,Democrat,1,3,4,1
393,1,2,4,2,1,2,5,3,4,4,3,1,4,5,2,1,1,2,4,4,3,5,5,4,1,,3,2,1,4,2,4,3,3,4,1,4,2,4,1,Asian,F,Democratic,1,3,7,1
68456,1,2,4,2,3,2,5,4,4,4,2,1,5,4,3,3,2,4,4,1,4,3,3,4,2,,4,4,2,2,2,3,2,3,2,3,3,3,3,3,white,x,,1,3,4,1
309,1,2,4,4,5,4,4,2,1,4,2,1,4,5,3,4,2,4,4,2,4,4,3,2,2,,5,4,2,2,2,2,2,2,4,1,2,3,3,2,,,Democrat,1,3,4,1
336,1,1,2,3,3,4,4,4,2,4,3,1,4,5,3,4,2,5,4,4,5,3,2,3,1,,5,4,1,2,2,2,2,2,2,2,3,3,3,2,white,male,registered Democrat,1,3,4,1
834,1,2,2,2,3,4,3,4,2,4,4,1,4,3,4,4,2,4,3,4,2,3,4,4,3,,4,3,3,2,3,2,2,3,2,2,3,3,3,2,White,Male,Democrat,4,5,7,1
253,1,2,3,2,4,4,2,3,2,4,4,1,4,4,3,3,2,5,3,5,4,2,2,3,1,,5,4,3,1,4,1,1,4,4,1,4,1,4,1,Hebrew,female,left-leaning centrist,4,4,7,1
201,1,4,4,3,3,4,4,4,3,3,3,1,3,5,3,3,2,4,2,3,2,2,4,2,2,,4,4,2,2,3,2,2,2,3,2,3,2,3,2,South asian and white,Female,Liberal,1,3,4,1
631,1,4,1,2,4,2,2,2,2,4,4,1,4,5,4,4,1,4,5,5,4,1,2,3,4,,5,4,2,3,2,3,2,2,2,2,2,4,3,1,white,nonbinary,none,1,3,4,2
335,1,1,3,1,4,4,4,2,1,2,1,1,5,4,4,4,2,5,5,1,3,5,5,5,1,,4,4,2,3,2,2,2,4,3,2,2,3,2,3,Asian,Female,,1,4,4,4
594,1,2,2,4,4,4,4,4,3,4,2,1,4,4,4,4,1,4,3,4,4,4,4,5,3,I feel like it was missing a question about engagement. ,5,4,2,2,3,2,2,4,2,4,3,4,3,3,Jewish American,Female,Democrat,3,5,7,1
407,1,4,5,4,3,5,2,1,1,5,4,1,2,1,5,5,3,2,2,2,3,2,2,2,1,I think I’d be interesting to have demographic info included as I’m sure my age affects how I see things (ie very different from my kids who are college students.),5,4,2,2,3,2,2,3,2,1,4,1,4,1,White - jewish,F,Democrat,3,5,7,1
219,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,4,4,3,,3,3,2,2,3,2,2,2,1,4,3,4,2,3,not white,woman,,1,7,4,2
779,1,4,3,4,5,4,2,4,2,4,4,1,4,4,4,4,5,4,2,4,4,2,4,4,4,,4,3,2,3,2,3,3,3,2,3,3,3,3,3,Asian,male,n/a,1,4,4,4
285,1,4,4,2,4,4,4,3,4,5,2,1,4,4,5,5,3,4,3,2,3,4,5,5,1,,2,4,2,2,2,2,2,3,1,3,3,4,2,3,Asian and White,Male,None,1,3,4,5
527,1,2,3,2,4,4,3,3,2,5,4,1,5,3,3,4,2,4,5,4,5,2,5,5,3,,5,4,1,3,1,4,4,1,4,2,3,3,3,3,Asian,Helicopter,"Somewhere in between democratic and republican, but am republican leaning ",1,3,4,4
493,1,3,2,3,4,4,4,4,4,4,4,1,4,3,4,4,3,4,3,5,2,3,4,4,4,,4,3,3,2,2,2,1,3,2,3,3,3,3,2,White,Male,Democratic ,1,3,7,1
308,1,4,2,2,2,3,5,5,5,5,4,1,5,5,,5,2,4,5,3,5,3,5,,2,,5,2,1,1,3,3,4,3,3,2,2,3,4,2,Afro-indigenous Latino ,Non-binary ,,1,3,4,2
466,1,4,2,3,4,4,2,4,2,5,4,1,3,4,4,4,3,3,3,4,4,2,3,3,1,,4,4,3,2,3,2,2,3,2,3,2,3,3,3,White,Male,Democrat,3,5,7,1
196,1,4,4,4,4,4,3,4,2,4,4,2,4,4,4,3,3,4,3,3,4,4,4,4,3,,4,2,2,2,3,2,2,3,4,1,3,2,3,2,Asian ,Female ,Democratic ,1,3,4,5
378,1,2,4,2,2,4,4,3,4,2,4,1,4,4,3,4,1,4,3,2,4,2,5,5,3,,4,3,3,2,3,2,2,3,4,1,4,2,3,2,Caucasian,Male,Moderate Democrat,1,3,4,1
306,1,3,4,3,4,4,3,4,3,4,4,1,3,3,4,4,3,4,3,4,3,2,4,4,4,,4,1,2,2,3,2,2,3,3,2,3,2,3,3,Asian,Male,Moderate ,1,7,4,2
440,1,3,4,4,4,4,4,4,2,4,4,1,4,4,3,3,2,4,3,4,3,2,4,4,3,,4,3,3,2,3,2,2,3,3,2,3,3,3,2,Caucasian,Female,,1,3,4,2
411,1,2,4,2,2,4,4,3,4,3,3,1,4,5,3,3,2,4,3,2,3,4,4,4,1,,4,3,1,3,2,3,3,2,3,2,2,3,3,3,White,Male,,1,3,7,1
114,1,4,3,4,4,4,5,2,3,4,4,1,4,3,4,4,4,4,4,2,4,4,2,4,4,,4,3,4,3,2,,3,3,2,3,3,3,3,1,,,,,,,
415,1,1,5,2,4,4,4,3,2,4,1,1,4,5,4,3,1,5,4,2,3,4,4,4,2,,4,3,3,2,3,2,2,3,2,3,4,4,3,3,White,Male,Democrat,1,3,7,2
219,1,2,2,2,4,4,4,4,2,4,4,1,4,5,4,4,1,4,2,4,5,2,4,4,2,,5,3,3,2,3,2,2,3,3,2,3,4,3,2,Latino,Male,Left,1,3,4,1
10309,1,2,2,2,1,1,1,5,5,4,4,3,4,3,2,4,2,1,3,1,3,2,5,5,1,,2,2,2,2,3,4,2,2,2,3,4,4,4,3,white,male,pro common sense,1,3,7,2
426,1,1,4,4,3,4,4,3,3,5,4,1,4,3,4,4,3,4,3,2,4,3,3,3,4,,4,3,2,2,2,2,3,2,2,3,3,3,3,3,Russian/Jewish,Male,Lefty ish I guess,1,3,7,1
212,1,4,5,3,2,4,4,3,4,3,4,1,5,5,4,3,2,5,3,4,1,2,5,4,3,,4,,2,3,2,3,2,3,3,3,2,4,2,4,white,,,1,3,4,1
129,1,1,5,4,4,5,5,4,1,5,3,1,2,5,2,4,3,5,4,4,5,1,2,1,2,,5,4,3,2,2,2,2,4,3,1,3,4,4,2,Multiracial,Gender fluid,Christian,1,4,4,1
508,1,2,5,2,3,4,4,4,4,2,2,1,4,5,4,2,1,5,1,1,1,3,4,4,3,,3,2,3,2,3,2,2,2,2,2,4,3,4,3,white,genderqueer,left/Democrat,1,3,4,1
240,1,4,4,4,4,4,4,2,4,4,2,1,4,4,2,2,1,4,4,1,1,3,4,4,4,,5,4,2,2,3,2,2,3,2,3,3,3,3,3,"Chinese, Asian","Genderfluid, nonbinary, gender-nonconforming, female presenting","Democrat, leftist",1,3,4,1
674,1,1,5,2,3,4,5,3,2,3,2,1,2,5,4,2,1,5,5,1,3,2,3,3,4,,5,4,3,2,3,3,3,3,4,1,3,3,4,3,white,non-binary,leftist,1,4,7,1
908,1,2,4,2,3,3,4,3,3,3,2,1,4,3,4,2,2,4,3,3,3,3,5,5,2,,2,1,2,2,2,2,2,2,2,3,2,3,2,3,Asian and White,Male,None,1,3,4,2
214,1,3,2,4,4,4,4,3,1,5,3,1,3,5,4,4,3,3,2,4,3,2,4,3,2,,5,3,2,2,2,2,2,3,3,2,3,3,3,2,Asian and White,Female,Democrate,1,3,4,1
286,1,3,2,4,5,4,3,3,1,4,2,1,3,4,3,4,2,4,3,4,4,3,2,3,3,,4,3,2,3,2,3,2,2,3,2,4,2,4,1,,Female,Democrat,1,3,4,1
472,1,3,4,4,2,4,4,3,3,4,4,1,4,4,2,2,2,4,3,4,3,2,4,4,2,,2,2,2,2,2,2,2,3,4,1,2,3,3,2,White ,Female ,Liberal/democrat ,1,3,7,1
522,1,3,4,4,4,3,4,4,2,4,3,1,3,4,4,4,2,4,4,3,2,4,3,2,2,"Most of these questions I feel as though individual choice or action can be enacted upon, however, I believe there are people and structures in power that ultimately make the final call on sociopolitical issues.",4,4,2,2,3,2,2,3,3,2,3,3,3,2,white,female,democrat,1,3,4,1
325,1,4,2,4,3,4,3,4,3,4,4,1,2,4,4,4,1,2,4,2,2,3,4,4,2,,4,4,2,3,2,3,3,2,3,2,3,4,3,3,Black ,Female,Democrat ,1,3,4,1
341,1,4,3,3,4,4,5,4,2,3,4,1,2,3,4,5,2,4,4,4,4,2,2,4,3,,4,2,3,3,3,2,2,3,2,3,3,3,2,3,Asian,Male,None,1,3,4,4
302,1,4,4,4,5,5,4,4,1,3,3,1,3,5,4,3,3,5,3,5,4,3,2,4,2,,5,3,3,2,2,3,3,2,2,3,2,4,4,3,,,,,,,
229,1,4,4,4,5,5,3,4,2,3,3,1,4,3,4,4,2,5,3,2,5,3,4,4,2,,3,4,2,3,2,3,3,3,2,3,2,2,3,4,Asian,Woman,,1,3,4,5
385,1,4,3,4,5,5,5,5,1,4,3,1,5,3,5,5,3,4,4,3,3,4,2,4,4,,5,4,1,3,1,3,3,2,1,4,2,4,1,4,Asian,Female,Democrat,1,3,4,4
184,1,3,4,3,4,4,4,3,2,3,4,1,3,4,4,4,2,3,3,3,2,2,3,4,3,,4,2,3,2,3,2,3,4,3,2,3,3,3,2,Japanese and Malaysian,Female,,1,3,4,1
382,1,3,3,4,5,5,3,3,2,4,4,1,3,4,3,4,2,4,4,3,4,3,2,3,4,,4,3,2,3,2,3,3,2,3,2,3,2,3,3,Taiwanese,Female,democrat,1,7,4,1
310,1,4,4,4,4,4,4,4,2,4,4,1,4,4,4,4,2,5,4,2,2,2,4,5,2,,4,4,2,3,2,2,3,3,2,3,4,3,4,3,Vietnamese,Female,,1,3,7,1
615,1,2,4,3,4,4,4,2,4,5,2,1,4,4,2,4,2,4,2,5,4,2,4,5,4,,4,4,3,3,2,2,2,3,3,2,2,2,3,3,Asian,Male,Democrat,1,7,4,4
202,1,1,5,1,1,1,5,1,5,1,1,1,5,5,1,1,1,5,5,1,1,5,1,5,1,,3,1,3,2,3,2,3,2,2,3,3,2,2,3,Asian,Male,None,1,3,7,4
44272,1,3,5,2,2,4,5,2,4,4,3,1,5,3,2,4,1,5,5,2,5,3,5,5,2,,4,4,1,2,3,2,3,3,3,3,4,1,4,4,Asian ,Non-binary ,,1,7,4,4
284,1,4,4,2,3,3,4,2,2,3,4,1,4,4,4,4,2,4,4,4,3,4,4,4,4,,3,3,2,3,2,2,2,3,3,2,4,4,2,3,Asian,Female,None（not a citizen）,1,3,4,4
302,1,2,2,2,3,3,4,2,2,4,4,1,3,4,4,2,2,4,4,3,4,2,4,2,2,,4,2,,,,,,,,,,,,,,,,,,,
196,1,2,4,2,3,5,4,4,4,5,4,1,4,4,4,5,1,4,5,3,4,3,4,1,3,,5,4,1,3,3,2,3,2,,,,,,,,,,,,,
221,1,3,2,2,2,4,4,4,4,4,3,1,4,4,3,3,3,5,4,3,2,2,4,4,3,,,,,,,,,,,,,,,,,,,,,,
2672,1,4,3,3,3,3,2,3,3,4,3,1,3,3,4,3,2,3,3,4,4,3,3,4,2,,4,4,2,3,2,3,3,2,3,2,3,2,3,2,,,,,,,