"","pcseitem_01m","pcseitem_02r","pcseitem_03m","pcseitem_05","pcseitem_07","pcseitem_08r","pcseitem_09","pcseitem_10r","pcseitem_11m","pcseitem_12","pcseitem_15r","pcseitem_16r","pcseitem_17","pcseitem_19m","pcseitem_20","pcseitem_21r","pcseitem_22r","pcseitem_23","pcseitem_24","pcseitem_25r","pcseitem_26r","pcseitem_27r","pcseitem_28m"
"pcseitem_01m",1,0.139839071106252,0.44789372201409,0.291160559311213,0.143485757442929,0.255004041701469,0.0624240880401907,0.149266884105572,0.0623749486331982,0.210221029722246,0.293968467697249,0.0627785283087795,0.28819559832849,0.289187528946995,0.378940250837295,0.302490318842373,0.0828521688142142,0.0998369587162272,0.113270692926223,0.0862127682274709,0.057653684692524,0.182011938276335,0.132444404626319
"pcseitem_02r",0.139839071106252,1,0.25976602314598,0.193722741533039,0.0563831196058231,0.350307632507368,0.329660231634593,0.148319536149221,0.335625515167876,0.256764719419625,0.221747356723768,0.0940166951781823,-0.00293555649551091,0.243888639605018,0.231403763100406,0.302496833093147,0.271335167457846,0.208719623027052,0.0720213011797589,0.288691248074227,0.126200761533663,0.0769338841691348,-0.0461630807191135
"pcseitem_03m",0.44789372201409,0.25976602314598,1,0.508069124070458,0.491369842533947,0.251781662235563,0.306228792782947,0.404308117038707,0.339562603066893,0.196726144017192,0.279725147035812,-0.0730183367846738,0.1982956805717,0.357365854748211,0.311210906518654,0.199574432869939,0.23193447522606,0.0555847463058005,0.149039180783095,0.242080488946147,0.328297252567258,0.337526497611297,0.162164730609074
"pcseitem_05",0.291160559311213,0.193722741533039,0.508069124070458,1,0.407092481701725,0.196715334325125,0.119621149062189,0.685041043167427,0.251944415257271,0.00664939838915793,0.226493343119094,-0.0503115675543083,0.284599819117796,0.495433670459691,0.256485726489693,0.0769529453550663,0.0761760665009896,0.0963346343096661,0.263427809435115,0.12297615977986,0.111884768813116,0.206494947743936,0.155392249170743
"pcseitem_07",0.143485757442929,0.0563831196058231,0.491369842533947,0.407092481701725,1,0.0743365313673962,0.2773300434548,0.430532692862911,0.322534886032646,0.205890415993704,0.235066090870238,-0.141512971098005,0.284686402207795,0.348458830864774,0.127725613183595,-0.066183496019129,0.146429969331145,0.00479880966544826,0.100816354375914,0.174095256015801,0.267391062371304,0.317020029712277,0.150801426922885
"pcseitem_08r",0.255004041701469,0.350307632507368,0.251781662235563,0.196715334325125,0.0743365313673962,1,0.162197642941969,0.152677703360556,0.301411688626113,0.196075305045753,0.308831964723167,0.147045510305757,0.227948817901892,0.297912779651605,0.304721487027465,0.420145532256735,0.253522868252067,0.144555050516181,0.141978528068209,0.21725177107246,0.0101206908314059,0.109173939519248,0.103277685337518
"pcseitem_09",0.0624240880401907,0.329660231634593,0.306228792782947,0.119621149062189,0.2773300434548,0.162197642941969,1,0.111436580342174,0.275277839828907,0.143669649778819,0.118275698310116,-0.108628781931825,0.107002156425306,0.222277369787332,0.114621522554065,0.0200818165241111,0.135814739215191,0.0654872349286267,0.0784224367529119,0.0906550698942046,0.120867535032115,0.137869321407047,-0.0425601398352208
"pcseitem_10r",0.149266884105572,0.148319536149221,0.404308117038707,0.685041043167427,0.430532692862911,0.152677703360556,0.111436580342174,1,0.217365496511327,0.0438445171550349,0.325429534426762,-0.0877408362304338,0.181205520480381,0.376349923343937,0.207932731419985,0.0394015334488591,0.0557110759435163,0.156388031371313,0.23963574228264,0.108233992281909,0.231693951233581,0.335888465533803,0.111720178843161
"pcseitem_11m",0.0623749486331982,0.335625515167876,0.339562603066893,0.251944415257271,0.322534886032646,0.301411688626113,0.275277839828907,0.217365496511327,1,0.261248205256577,0.18056240658674,0.137922984123371,0.0249950173352498,0.355533945249545,0.233439139648753,0.18243589984597,0.180214017941693,0.145536814383517,0.169160427173259,0.236922711992014,0.145826455991435,0.285255873155363,0.0975297787299004
"pcseitem_12",0.210221029722246,0.256764719419625,0.196726144017192,0.00664939838915793,0.205890415993704,0.196075305045753,0.143669649778819,0.0438445171550349,0.261248205256577,1,0.207130894599325,0.118952243780483,0.143511574083974,0.13568523022071,0.221312826623097,0.152011368443145,0.156286872546544,0.189703511912845,0.0422383159214187,0.484402075389219,0.0908230542769669,0.234488750793535,0.1688750064113
"pcseitem_15r",0.293968467697249,0.221747356723768,0.279725147035812,0.226493343119094,0.235066090870238,0.308831964723167,0.118275698310116,0.325429534426762,0.18056240658674,0.207130894599325,1,0.0903098490732588,0.208378069818062,0.141590672894097,0.288435367451601,0.376851089780034,0.245499723372639,0.125498761534792,0.0286125296692348,0.21626734599729,0.0580805954373611,0.428662437601851,0.0785497683000207
"pcseitem_16r",0.0627785283087795,0.0940166951781823,-0.0730183367846738,-0.0503115675543083,-0.141512971098005,0.147045510305757,-0.108628781931825,-0.0877408362304338,0.137922984123371,0.118952243780483,0.0903098490732588,1,0.0643286873505974,0.0490220372901857,0.243097651678828,0.189584806363552,0.15046667220721,0.00559449081237504,0.0739907567798514,0.0135003063435898,-0.154295297231415,-0.182264940473568,0.125848415044523
"pcseitem_17",0.28819559832849,-0.00293555649551091,0.1982956805717,0.284599819117796,0.284686402207795,0.227948817901892,0.107002156425306,0.181205520480381,0.0249950173352498,0.143511574083974,0.208378069818062,0.0643286873505974,1,0.282761563534091,0.199299657803609,0.173868091680217,0.0307754739030903,0.071713734652661,0.110772222171609,0.0846220730480756,-0.0463825899445823,0.0904394218594696,0.0646561172967287
"pcseitem_19m",0.289187528946995,0.243888639605018,0.357365854748211,0.495433670459691,0.348458830864774,0.297912779651605,0.222277369787332,0.376349923343937,0.355533945249545,0.13568523022071,0.141590672894097,0.0490220372901857,0.282761563534091,1,0.299503198759036,0.195955872153797,0.0157369707648634,0.0811694266587429,0.333676130469598,0.0299653966259603,0.0676445001858583,0.0979160915818939,0.0796648881390221
"pcseitem_20",0.378940250837295,0.231403763100406,0.311210906518654,0.256485726489693,0.127725613183595,0.304721487027465,0.114621522554065,0.207932731419985,0.233439139648753,0.221312826623097,0.288435367451601,0.243097651678828,0.199299657803609,0.299503198759036,1,0.180205971321954,0.214193017742818,0.208475185630646,0.088243151546157,0.122441217597212,0.0249313105965503,0.130225087940337,0.141948227989931
"pcseitem_21r",0.302490318842373,0.302496833093147,0.199574432869939,0.0769529453550663,-0.066183496019129,0.420145532256735,0.0200818165241111,0.0394015334488591,0.18243589984597,0.152011368443145,0.376851089780034,0.189584806363552,0.173868091680217,0.195955872153797,0.180205971321954,1,0.221666489573769,0.151393261438131,0.0799727419620963,0.157208787803001,-0.0166290258808236,0.109759713202843,-0.0265000456493016
"pcseitem_22r",0.0828521688142142,0.271335167457846,0.23193447522606,0.0761760665009896,0.146429969331145,0.253522868252067,0.135814739215191,0.0557110759435163,0.180214017941693,0.156286872546544,0.245499723372639,0.15046667220721,0.0307754739030903,0.0157369707648634,0.214193017742818,0.221666489573769,1,0.146508450259944,-0.0436926418802833,0.267070084334906,0.00902418655989769,0.0305106548809681,0.0356072085302274
"pcseitem_23",0.0998369587162272,0.208719623027052,0.0555847463058005,0.0963346343096661,0.00479880966544826,0.144555050516181,0.0654872349286267,0.156388031371313,0.145536814383517,0.189703511912845,0.125498761534792,0.00559449081237504,0.071713734652661,0.0811694266587429,0.208475185630646,0.151393261438131,0.146508450259944,1,0.213589965259424,0.252433486340703,-0.00664277374352285,0.0790884109723152,0.095996176272005
"pcseitem_24",0.113270692926223,0.0720213011797589,0.149039180783095,0.263427809435115,0.100816354375914,0.141978528068209,0.0784224367529119,0.23963574228264,0.169160427173259,0.0422383159214187,0.0286125296692348,0.0739907567798514,0.110772222171609,0.333676130469598,0.088243151546157,0.0799727419620963,-0.0436926418802833,0.213589965259424,1,-0.0365262152628317,0.045537788103775,0.0177077854995716,0.063768749155387
"pcseitem_25r",0.0862127682274709,0.288691248074227,0.242080488946147,0.12297615977986,0.174095256015801,0.21725177107246,0.0906550698942046,0.108233992281909,0.236922711992014,0.484402075389219,0.21626734599729,0.0135003063435898,0.0846220730480756,0.0299653966259603,0.122441217597212,0.157208787803001,0.267070084334906,0.252433486340703,-0.0365262152628317,1,0.132247549986954,0.296585799169363,0.0930899043221706
"pcseitem_26r",0.057653684692524,0.126200761533663,0.328297252567258,0.111884768813116,0.267391062371304,0.0101206908314059,0.120867535032115,0.231693951233581,0.145826455991435,0.0908230542769669,0.0580805954373611,-0.154295297231415,-0.0463825899445823,0.0676445001858583,0.0249313105965503,-0.0166290258808236,0.00902418655989769,-0.00664277374352285,0.045537788103775,0.132247549986954,1,0.441391919013788,0.0938849114358695
"pcseitem_27r",0.182011938276335,0.0769338841691348,0.337526497611297,0.206494947743936,0.317020029712277,0.109173939519248,0.137869321407047,0.335888465533803,0.285255873155363,0.234488750793535,0.428662437601851,-0.182264940473568,0.0904394218594696,0.0979160915818939,0.130225087940337,0.109759713202843,0.0305106548809681,0.0790884109723152,0.0177077854995716,0.296585799169363,0.441391919013788,1,0.0317115205408071
"pcseitem_28m",0.132444404626319,-0.0461630807191135,0.162164730609074,0.155392249170743,0.150801426922885,0.103277685337518,-0.0425601398352208,0.111720178843161,0.0975297787299004,0.1688750064113,0.0785497683000207,0.125848415044523,0.0646561172967287,0.0796648881390221,0.141948227989931,-0.0265000456493016,0.0356072085302274,0.095996176272005,0.063768749155387,0.0930899043221706,0.0938849114358695,0.0317115205408071,1
